Time resolution is 1 ps
     Time | clk | rst |   PC | Instr | Data_RS | Data_RD | ALU_OP | ALU_Result | RegWrite | MemRead | MemWrite | MemData | MuxSel | imI | sign_extended_imm | jmp
                   0 | 000 | 001 | 0000 | 3111 | 0000 | 0000 | 0    | 0001     | 1       | 0      | 0      | 0000   | 0     | 1 | 0001 | 0
               10000 | 001 | 000 | 0002 | 0110 | 0001 | 0001 | 0    | 0002     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               20000 | 000 | 000 | 0002 | 0110 | 0001 | 0001 | 0    | 0002     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               30000 | 001 | 000 | 0004 | 0110 | 0002 | 0002 | 0    | 0004     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               40000 | 000 | 000 | 0004 | 0110 | 0002 | 0002 | 0    | 0004     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               50000 | 001 | 000 | 0006 | 0110 | 0004 | 0004 | 0    | 0008     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               60000 | 000 | 000 | 0006 | 0110 | 0004 | 0004 | 0    | 0008     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               70000 | 001 | 000 | 0008 | 0110 | 0008 | 0008 | 0    | 0010     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               80000 | 000 | 000 | 0008 | 0110 | 0008 | 0008 | 0    | 0010     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
               90000 | 001 | 000 | 000a | 0110 | 0010 | 0010 | 0    | 0020     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              100000 | 000 | 000 | 000a | 0110 | 0010 | 0010 | 0    | 0020     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              110000 | 001 | 000 | 000c | 0110 | 0020 | 0020 | 0    | 0040     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              120000 | 000 | 000 | 000c | 0110 | 0020 | 0020 | 0    | 0040     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              130000 | 001 | 000 | 000e | 0110 | 0040 | 0040 | 0    | 0080     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              140000 | 000 | 000 | 000e | 0110 | 0040 | 0040 | 0    | 0080     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              150000 | 001 | 000 | 0010 | 0110 | 0080 | 0080 | 0    | 0100     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              160000 | 000 | 000 | 0010 | 0110 | 0080 | 0080 | 0    | 0100     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              170000 | 001 | 000 | 0012 | 6fee | 0000 | 0000 | 0    | 0000     | 0       | 0      | 0      | 0000   | 0     | 0 | fffe | 1
              180000 | 000 | 000 | 0012 | 6fee | 0000 | 0000 | 0    | 0000     | 0       | 0      | 0      | 0000   | 0     | 0 | fffe | 1
              190000 | 001 | 000 | 0000 | 3111 | 0100 | 0100 | 0    | 0101     | 1       | 0      | 0      | 0000   | 0     | 1 | 0001 | 0
              200000 | 000 | 000 | 0000 | 3111 | 0100 | 0100 | 0    | 0101     | 1       | 0      | 0      | 0000   | 0     | 1 | 0001 | 0
              210000 | 001 | 000 | 0002 | 0110 | 0101 | 0101 | 0    | 0202     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              220000 | 000 | 000 | 0002 | 0110 | 0101 | 0101 | 0    | 0202     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              230000 | 001 | 000 | 0004 | 0110 | 0202 | 0202 | 0    | 0404     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              240000 | 000 | 000 | 0004 | 0110 | 0202 | 0202 | 0    | 0404     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
              250000 | 001 | 000 | 0006 | 0110 | 0404 | 0404 | 0    | 0808     | 1       | 0      | 0      | 0000   | 0     | 0 | 0000 | 0
$finish called at time : 260 ns : File "D:/2024.2/CA_490_Team_47/CA_490_Team_47.srcs/sim_1/new/CPU_tb.v" Line 56
